"subjID","partner_type","mean","sd","sem","n"
"124","same",0.814814814814815,0.392095198012781,0.0533573980959359,54
"124","different",0.60377358490566,0.493793114632085,0.0678277006998428,53
"125","same",0.890909090909091,0.314626602482846,0.0424242424242424,55
"125","different",0.666666666666667,0.475830951430886,0.0647523908238176,54
"126","same",0.660714285714286,0.477751769485737,0.0638422656193083,56
"126","different",0.892857142857143,0.31209389196618,0.0417053005800816,56
"127","same",0.792452830188679,0.409431621323894,0.0562397584034762,53
"127","different",0.890909090909091,0.314626602482846,0.0424242424242424,55
"128","same",0.875,0.333711906235957,0.0445941292507922,56
"128","different",0.851851851851852,0.358582503198747,0.0487968979737137,54
"130","same",0.767857142857143,0.426020547032073,0.0569293902400011,56
"130","different",0.732142857142857,0.446850450011326,0.0597129031095764,56
"131","same",0.928571428571429,0.259870097418821,0.0347266024860284,56
"131","different",0.854545454545454,0.355807991196553,0.0479771397456077,55
"132","same",0.87037037037037,0.339049520304525,0.046138795682305,54
"132","different",0.818181818181818,0.389249472080761,0.0524863881081478,55
"133","same",0.803571428571429,0.400891862868637,0.0535714285714286,56
"133","different",0.571428571428571,0.499350227145887,0.0667284809281305,56
"134","same",0.75,0.436931448752651,0.0583874208121142,56
"134","different",0.839285714285714,0.370590963648147,0.049522300593063,56
"135","same",0.910714285714286,0.287736351183176,0.0384503872802825,56
"135","different",0.946428571428571,0.227207782928703,0.0303619171188469,56
"136","same",0.836363636363636,0.37335497772755,0.0503431749267762,55
"136","different",0.781818181818182,0.416818154279985,0.0562037484575497,55
"137","same",0.946428571428571,0.227207782928703,0.0303619171188469,56
"137","different",0.928571428571429,0.259870097418821,0.0347266024860284,56
"138","same",0.527272727272727,0.503857176064859,0.067940087760809,55
"138","different",0.740740740740741,0.442343040499889,0.060195263360889,54
"139","same",0.839285714285714,0.370590963648147,0.049522300593063,56
"139","different",0.892857142857143,0.31209389196618,0.0417053005800816,56
"140","same",0.928571428571429,0.259870097418821,0.0347266024860284,56
"140","different",0.672727272727273,0.473542420742244,0.0638524469869863,55
"141","same",0.928571428571429,0.259870097418821,0.0347266024860284,56
"141","different",0.777777777777778,0.419643454531126,0.0571062409722274,54
"142","same",0.872727272727273,0.336349986073009,0.0453534228699872,55
"142","different",0.890909090909091,0.314626602482846,0.0424242424242424,55
"143","same",0.767857142857143,0.426020547032073,0.0569293902400011,56
"143","different",0.803571428571429,0.400891862868637,0.0535714285714286,56
"145","same",0.964285714285714,0.187256335179708,0.025023180348049,56
"145","different",0.964285714285714,0.187256335179708,0.025023180348049,56
"146","same",0.839285714285714,0.370590963648147,0.049522300593063,56
"146","different",0.857142857142857,0.3530939318019,0.0471841613625583,56
"147","same",0.854545454545454,0.355807991196553,0.0479771397456077,55
"147","different",0.854545454545454,0.355807991196553,0.0479771397456077,55
"148","same",0.821428571428571,0.386459117308221,0.0516427718200872,56
"148","different",0.767857142857143,0.426020547032073,0.0569293902400011,56
"149","same",0.821428571428571,0.386459117308221,0.0516427718200872,56
"149","different",0.660714285714286,0.477751769485737,0.0638422656193083,56
"150","same",0.352941176470588,0.482639799923906,0.0675830899592709,51
"150","different",0.490566037735849,0.50469493868284,0.0693251813995239,53
"151","same",0.574074074074074,0.499125720611092,0.067922407388674,54
"151","different",0.703703703703704,0.46091089588801,0.0627220284341492,54
"152","same",0.759259259259259,0.431547683593059,0.0587262013601689,54
"152","different",0.714285714285714,0.455842305838552,0.0609144903873173,56
"153","same",0.833333333333333,0.376177396931639,0.0511912597361626,54
"153","different",0.946428571428571,0.227207782928703,0.0303619171188469,56
"154","same",0.875,0.333711906235957,0.0445941292507922,56
"154","different",0.589285714285714,0.496415724396973,0.0663363415035954,56
"155","same",0.892857142857143,0.31209389196618,0.0417053005800816,56
"155","different",0.872727272727273,0.336349986073009,0.0453534228699872,55
"156","same",0.518518518518518,0.504348664241606,0.0686331599914561,54
"156","different",0.696428571428571,0.463960925358742,0.0619993865551075,56
